timestamp,vehiculo_id,vehiculo_nombre,electrolinera_id,electrolinera_nombre,nodo_origen_osm,nivel_bateria_llegada,distancia_recorrida_m
2026-05-11 09:00:00,V2,"BYD Seagull (Std Range, baja gama)",E7,Centro Comercial La Florida,839087681,19.38,4033.7
2026-05-01 17:00:00,V2,"BYD Seagull (Std Range, baja gama)",E2,Centro Comercial Quinta Etapa,839097185,19.78,1004.3
2026-05-08 23:00:00,V1,Tesla Model 3 Long Range (alta gama),E7,Centro Comercial La Florida,839087681,18.48,4033.7
2026-05-12 05:00:00,V2,"BYD Seagull (Std Range, baja gama)",E7,Centro Comercial La Florida,839087681,18.08,4033.7
2026-05-22 01:00:00,V2,"BYD Seagull (Std Range, baja gama)",E7,Centro Comercial La Florida,839087681,19.36,4033.7
2026-05-24 03:00:00,V1,Tesla Model 3 Long Range (alta gama),E1,Homecenter Bucaramanga,948655341,19.3,489.9
2026-05-01 21:00:00,V2,"BYD Seagull (Std Range, baja gama)",E2,Centro Comercial Quinta Etapa,839097185,19.87,1004.3
2026-05-07 23:00:00,V1,Tesla Model 3 Long Range (alta gama),E1,Homecenter Bucaramanga,948655341,19.9,489.9
2026-05-12 17:00:00,V2,"BYD Seagull (Std Range, baja gama)",E5,Estación Terpel Piedecuesta,845132313,18.39,373.6
2026-05-22 03:00:00,V1,Tesla Model 3 Long Range (alta gama),E5,Estación Terpel Piedecuesta,845132313,19.68,373.6
2026-05-22 21:00:00,V2,"BYD Seagull (Std Range, baja gama)",E5,Estación Terpel Piedecuesta,845132313,18.27,373.6
2026-04-30 21:00:00,V2,"BYD Seagull (Std Range, baja gama)",E3,Centro Comercial Cacique,839103570,19.76,337.8
2026-05-06 23:00:00,V1,Tesla Model 3 Long Range (alta gama),E7,Centro Comercial La Florida,839087681,18.67,4033.7
2026-05-12 13:00:00,V2,"BYD Seagull (Std Range, baja gama)",E5,Estación Terpel Piedecuesta,845132313,19.79,373.6
2026-05-22 09:00:00,V2,"BYD Seagull (Std Range, baja gama)",E3,Centro Comercial Cacique,839103570,19.99,337.8
2026-05-23 23:00:00,V1,Tesla Model 3 Long Range (alta gama),E3,Centro Comercial Cacique,839103570,18.96,337.8
