timestamp,vehiculo_id,vehiculo_nombre,electrolinera_id,electrolinera_nombre,nodo_origen,nivel_bateria_llegada,distancia_metros
2026-05-19 09:00:00,V2,BYD Seagull Std Range,E7,Centro Comercial La Florida,839092126,18.9,619.0
2026-05-27 11:00:00,V1,Tesla Model 3 Long Range,E3,Centro Comercial Cacique,839103570,19.19,337.8
2026-05-29 21:00:00,V2,BYD Seagull Std Range,E7,Centro Comercial La Florida,839092126,19.45,619.0
